pais;fecha;ranking;cancion;artista;artista_normalizado;fuente
Argentina;2026-03-19;44;Loco Enamorado I Variet� #4;Tincho & Javi, Max Carra;Tincho & Javi;Spotify Charts
Argentina;2026-03-19;45;HASTA QUE ME ENAMORO;Maria Becerra, TINI, XROSS;Maria Becerra;Spotify Charts
Argentina;2026-03-19;46;Gil;Milo j, Trueno;Milo j;Spotify Charts
Argentina;2026-03-19;47;NO LES DA;Callejero Fino, Lea in the Mix;Callejero Fino;Spotify Charts
Argentina;2026-03-19;48;Pasos Al Costado;Turf;Turf;Spotify Charts
Argentina;2026-03-19;49;Es un Secreto;Plan B;Plan B;Spotify Charts
Argentina;2026-03-19;50;Creo;Callejeros;Callejeros;Spotify Charts
Chile;2026-03-19;1;Who;Jimin;Jimin;Spotify Charts
Chile;2026-03-19;2;ALO;Katteyes, SINAKA;Katteyes;Spotify Charts
Chile;2026-03-19;3;DUBAI;Jere Klein, Jairo Vera, Gittobeatz;Jere Klein;Spotify Charts
Chile;2026-03-19;4;SENDA BELLAKONA;SINAKA;Sinaka;Spotify Charts
Chile;2026-03-19;5;ARABE;Jere Klein, Valdi;Jere Klein;Spotify Charts
Chile;2026-03-19;6;Cuando No Era Cantante - Remix;El Bogueto, Anuel AA, Fuerza Regida, Yung Beef;El Bogueto;Spotify Charts
Chile;2026-03-19;7;LO QUE TU PIDAS;Kreamly, Baby Jey, Tobal Mj;Kreamly;Spotify Charts
Chile;2026-03-19;8;BAILE INoLVIDABLE;Bad Bunny;Bad Bunny;Spotify Charts
Chile;2026-03-19;9;FOREVER TU GANTEL;Omar Courtz, �engo Flow;Omar Courtz;Spotify Charts
Chile;2026-03-19;10;EoO;Bad Bunny;Bad Bunny;Spotify Charts
Chile;2026-03-19;11;HOTEL;Jere Klein, Tobal Mj, Lyon la f;Jere Klein;Spotify Charts
Chile;2026-03-19;12;Ni�o;Milo j;Milo j;Spotify Charts
Chile;2026-03-19;13;Troka;Jairo Vera, Juhn;Jairo Vera;Spotify Charts
Chile;2026-03-19;14;KOKO;Omar Courtz;Omar Courtz;Spotify Charts
Chile;2026-03-19;15;Comando Estelar;Germanini, Lyon la f, JhonAlex, Nacho G Flow;Germanini;Spotify Charts
Chile;2026-03-19;16;no tiene sentido;Be�le;Be�le;Spotify Charts
Chile;2026-03-19;17;VeLD�;Bad Bunny, Omar Courtz, Dei V;Bad Bunny;Spotify Charts
Chile;2026-03-19;18;Pu�aladas;Lauta, Amigo de Artistas, Tote;Lauta;Spotify Charts
Chile;2026-03-19;19;Pasajero;King Savagge, Lyon la f, Katteyes, Lewis Somes;King Savagge;Spotify Charts
Chile;2026-03-19;20;VOY A LLeVARTE PA PR;Bad Bunny;Bad Bunny;Spotify Charts
Chile;2026-03-19;21;TODO KE VER;Jere Klein, Katteyes, Mateo on the Beatz;Jere Klein;Spotify Charts
Chile;2026-03-19;22;DtMF;Bad Bunny;Bad Bunny;Spotify Charts
Chile;2026-03-19;23;TU VAS SIN (fav);Rels B;Rels B;Spotify Charts
Chile;2026-03-19;24;QLOO*;Young Cister, Kreamly;Young Cister;Spotify Charts
Chile;2026-03-19;25;Dardos;Romeo Santos, Prince Royce;Romeo Santos;Spotify Charts
Chile;2026-03-19;26;LA VILLA;Ryan Castro, Kapo, Gangsta;Ryan Castro;Spotify Charts
Chile;2026-03-19;27;Cuando No Era Cantante;El Bogueto, Yung Beef;El Bogueto;Spotify Charts
Chile;2026-03-19;28;NUEVAYoL;Bad Bunny;Bad Bunny;Spotify Charts
Chile;2026-03-19;29;CHALET;Jere Klein, Mateo on the Beatz;Jere Klein;Spotify Charts
Chile;2026-03-19;30;Bastardo (feat. �engo Flow & Jere Klein);Pablo Chill-E, �engo Flow, Jere Klein;Pablo Chill-E;Spotify Charts
Chile;2026-03-19;31;POR SI MA�ANA NO ESTOY;Omar Courtz;Omar Courtz;Spotify Charts
Chile;2026-03-19;32;Marbella;Lucky Brown, Lyon la f, Tobal Mj, Tony El Golden Boy, Lamelodiadelhampa, JhonAlex, Germanini, Renaglock, Mateo on the Beatz, IGNACIO ON THE BEAT;Lucky Brown;Spotify Charts
Chile;2026-03-19;33;La Plena - W Sound 05;W Sound, Be�le, Ovy On The Drums;W Sound;Spotify Charts
Chile;2026-03-19;34;Gil;Milo j, Trueno;Milo j;Spotify Charts
Chile;2026-03-19;35;Resentia;Pablo Chill-E;Pablo Chill-E;Spotify Charts
Chile;2026-03-19;36;El Tel�fono;"H�ctor ""El Father"", Wisin & Yandel";"H�ctor ""El Father""";Spotify Charts
Chile;2026-03-19;37;YOGURCITO REMIX (feat. Kris R., ROA);Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA;Blessd;Spotify Charts
Chile;2026-03-19;38;COQUETA;Fuerza Regida, Grupo Frontera;Fuerza Regida;Spotify Charts
Chile;2026-03-19;39;Me Mareo;Kidd Voodoo, JC Reyes;Kidd Voodoo;Spotify Charts
Chile;2026-03-19;40;Qu� Pasar�a...;Rauw Alejandro, Bad Bunny;Rauw Alejandro;Spotify Charts
Chile;2026-03-19;41;KLOuFRENS;Bad Bunny;Bad Bunny;Spotify Charts
Chile;2026-03-19;42;mi refe;Be�le, Ovy On The Drums;Be�le;Spotify Charts
Chile;2026-03-19;43;TU Y YO;Jere Klein, Bayriton, Adan La Amenaza;Jere Klein;Spotify Charts
Chile;2026-03-19;44;30 Mil Pies;Cris MJ;Cris MJ;Spotify Charts
Chile;2026-03-19;45;Pa' Que La Pases Bien;Arc�ngel;Arc�ngel;Spotify Charts
Chile;2026-03-19;46;YO y T�;Ovy On The Drums, Quevedo, Be�le;Ovy On The Drums;Spotify Charts
Chile;2026-03-19;47;DESCONTROL;SINAKA, Easykid;Sinaka;Spotify Charts
Chile;2026-03-19;48;Destello...;Kidd Voodoo;Kidd Voodoo;Spotify Charts
Chile;2026-03-19;49;No Va a Chocar;Norambuena, RealViviendo;Norambuena;Spotify Charts
Chile;2026-03-19;50;Tiene;Tobal Mj, Lucky Brown, Nacho G Flow;Tobal Mj;Spotify Charts
Colombia;2026-03-19;1;Las Mu�equitas;Mr Plata, El Americano 4KT;Mr Plata;Spotify Charts
Colombia;2026-03-19;2;GANAS;Kris R.;Kris R.;Spotify Charts
Colombia;2026-03-19;3;Pico Y Chao (W Sound 08);W Sound, Kris R., Ovy On The Drums;W Sound;Spotify Charts
Colombia;2026-03-19;4;LA VILLA;Ryan Castro, Kapo, Gangsta;Ryan Castro;Spotify Charts
Colombia;2026-03-19;5;CH�VERE (premium_remix);ARIA VEGA, Ryan Castro;Aria Vega;Spotify Charts
Colombia;2026-03-19;6;La Plena - W Sound 05;W Sound, Be�le, Ovy On The Drums;W Sound;Spotify Charts
Colombia;2026-03-19;7;qu�date;Be�le;Be�le;Spotify Charts
Colombia;2026-03-19;8;no tiene sentido;Be�le;Be�le;Spotify Charts
Colombia;2026-03-19;9;El Beneficio De La Duda;Grupo Firme;Grupo Firme;Spotify Charts
Colombia;2026-03-19;10;TUKI TUKI;Kris R., GeezyDee;Kris R.;Spotify Charts
Colombia;2026-03-19;11;NUEVA YORK;Blessd, Los Money Makers, Prodmonja;Blessd;Spotify Charts
Colombia;2026-03-19;12;Todo Lo Fue;Lenin Ram�rez;Lenin Ram�rez;Spotify Charts
Colombia;2026-03-19;13;YOGURCITO;Blessd;Blessd;Spotify Charts
Colombia;2026-03-19;14;Destino Final;Yeison Jimenez, Luis Alfonso;Yeison Jimenez;Spotify Charts
Colombia;2026-03-19;15;mi refe;Be�le, Ovy On The Drums;Be�le;Spotify Charts
Colombia;2026-03-19;16;COQUETA;Fuerza Regida, Grupo Frontera;Fuerza Regida;Spotify Charts
Colombia;2026-03-19;17;YOGURCITO REMIX (feat. Kris R., ROA);Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA;Blessd;Spotify Charts
Colombia;2026-03-19;18;PH;Kris R.;Kris R.;Spotify Charts
Colombia;2026-03-19;19;AMISTA;Blessd, Ovy On The Drums;Blessd;Spotify Charts
Colombia;2026-03-19;20;BAILE INoLVIDABLE;Bad Bunny;Bad Bunny;Spotify Charts
Colombia;2026-03-19;21;Tonto;J Balvin, Ryan Castro, DJ Snake;J Balvin;Spotify Charts
Colombia;2026-03-19;22;CH�VERE (joes�n_type_beat);ARIA VEGA;Aria Vega;Spotify Charts
Colombia;2026-03-19;23;Ya Borracho;Herencia De Grandes;Herencia De Grandes;Spotify Charts
Colombia;2026-03-19;24;SANKA;Ryan Castro, Dongo;Ryan Castro;Spotify Charts
Colombia;2026-03-19;25;D�NDE;Kapo, Ryan Castro;Kapo;Spotify Charts
Colombia;2026-03-19;26;Hasta Aqu� Llegu�;Nanpa B�sico, Be�le;Nanpa B�sico;Spotify Charts
Colombia;2026-03-19;27;LA CANCI�N;J Balvin, Bad Bunny;J Balvin;Spotify Charts
Colombia;2026-03-19;28;MIL D AURA;Kris R.;Kris R.;Spotify Charts
Colombia;2026-03-19;29;FOREVER TU GANTEL;Omar Courtz, �engo Flow;Omar Courtz;Spotify Charts
Colombia;2026-03-19;30;UWAIE;Kapo;Kapo;Spotify Charts
Colombia;2026-03-19;31;Por Qu� la Envidia;Yeison Jimenez;Yeison Jimenez;Spotify Charts
Colombia;2026-03-19;32;DtMF;Bad Bunny;Bad Bunny;Spotify Charts
Colombia;2026-03-19;33;El Tel�fono;"H�ctor ""El Father"", Wisin & Yandel";"H�ctor ""El Father""";Spotify Charts
Colombia;2026-03-19;34;Vete;Yeison Jimenez;Yeison Jimenez;Spotify Charts
Colombia;2026-03-19;35;YO y T�;Ovy On The Drums, Quevedo, Be�le;Ovy On The Drums;Spotify Charts
Colombia;2026-03-19;36;Ozono;Luister La Voz, maikol el insoportable;Luister La Voz;Spotify Charts
Colombia;2026-03-19;37;POR SI MA�ANA NO ESTOY;Omar Courtz;Omar Courtz;Spotify Charts
Colombia;2026-03-19;38;LUNA;Feid, ATL Jacob;Feid;Spotify Charts
Colombia;2026-03-19;39;EoO;Bad Bunny;Bad Bunny;Spotify Charts
Colombia;2026-03-19;40;Ba Ba Bad Remix;Kybba, Sean Paul, Ryan Castro, Busy Signal;Kybba;Spotify Charts
Colombia;2026-03-19;41;Cuando No Era Cantante - Remix;El Bogueto, Anuel AA, Fuerza Regida, Yung Beef;El Bogueto;Spotify Charts
Colombia;2026-03-19;42;Hace Mucho Tiempo;Arc�ngel;Arc�ngel;Spotify Charts
Colombia;2026-03-19;43;El Mejor - Remix;Yeison Jimenez, Chay�n Rubio;Yeison Jimenez;Spotify Charts
Colombia;2026-03-19;44;top diesel;Be�le;Be�le;Spotify Charts
Colombia;2026-03-19;45;COMO OREO;Blessd, Fuerza Regida, Ovy On The Drums;Blessd;Spotify Charts
Colombia;2026-03-19;46;Por Amar A Ciegas;Arc�ngel;Arc�ngel;Spotify Charts
Colombia;2026-03-19;47;Es un Secreto;Plan B;Plan B;Spotify Charts
Colombia;2026-03-19;48;NO ME QUIERO CASAR;Bad Bunny;Bad Bunny;Spotify Charts
Colombia;2026-03-19;49;"""EMHDM""";Blessd, Ovy On The Drums;Blessd;Spotify Charts
Colombia;2026-03-19;50;GAMINA;Kris R.;Kris R.;Spotify Charts
Mexico;2026-03-19;1;dopamina;Peso Pluma, Tito Double P;Peso Pluma;Spotify Charts
Mexico;2026-03-19;2;da�o;Peso Pluma, Tito Double P;Peso Pluma;Spotify Charts
Mexico;2026-03-19;3;Pvta Luna;Neton Vega;Neton Vega;Spotify Charts
Mexico;2026-03-19;4;Todo Lo Fue;Lenin Ram�rez;Lenin Ram�rez;Spotify Charts
Mexico;2026-03-19;5;7-3;Peso Pluma, Tito Double P;Peso Pluma;Spotify Charts
Mexico;2026-03-19;6;chiclona;Peso Pluma, Tito Double P, LENCHO;Peso Pluma;Spotify Charts
Mexico;2026-03-19;7;Ya Borracho;Herencia De Grandes;Herencia De Grandes;Spotify Charts
Mexico;2026-03-19;8;Cuando No Era Cantante - Remix;El Bogueto, Anuel AA, Fuerza Regida, Yung Beef;El Bogueto;Spotify Charts
Mexico;2026-03-19;9;2+2;Omar Camacho, Victor Mendivil;Omar Camacho;Spotify Charts
Mexico;2026-03-19;10;Marlboro Rojo;Fuerza Regida;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;11;4x4;Omar Camacho, Victor Mendivil, Angel Almaguer, $HUPE;Omar Camacho;Spotify Charts
Mexico;2026-03-19;12;TU SANCHO;Fuerza Regida;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;13;tu con el;Peso Pluma, Tito Double P;Peso Pluma;Spotify Charts
Mexico;2026-03-19;14;CHAVALITAS;Fuerza Regida;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;15;Pase y Toque;BeatBoy, Victor Mendivil;BeatBoy;Spotify Charts
Mexico;2026-03-19;16;PUES QUE LE HAGO ?;Chuyin;Chuyin;Spotify Charts
Mexico;2026-03-19;17;POR SUS BESOS;Tito Double P;Tito Double P;Spotify Charts
Mexico;2026-03-19;18;Cuando No Era Cantante;El Bogueto, Yung Beef;El Bogueto;Spotify Charts
Mexico;2026-03-19;19;BAILE INoLVIDABLE;Bad Bunny;Bad Bunny;Spotify Charts
Mexico;2026-03-19;20;MIENTRAS DUERMES;Junior H;Junior H;Spotify Charts
Mexico;2026-03-19;21;ni pedo;Peso Pluma, Tito Double P;Peso Pluma;Spotify Charts
Mexico;2026-03-19;22;ganga;Peso Pluma, Tito Double P, El Randal;Peso Pluma;Spotify Charts
Mexico;2026-03-19;23;Canasteo;R�gulo Molina, Oscar Maydon, Neton Vega;R�gulo Molina;Spotify Charts
Mexico;2026-03-19;24;DtMF;Bad Bunny;Bad Bunny;Spotify Charts
Mexico;2026-03-19;25;Alaska;Victor Mendivil, Hades66;Victor Mendivil;Spotify Charts
Mexico;2026-03-19;26;ANSIEDAD;Fuerza Regida;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;27;COQUETA;Fuerza Regida, Grupo Frontera;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;28;caperuza;Fuerza Regida;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;29;Tus Mentiras (En Vivo);Moy Bobadilla;Moy Bobadilla;Spotify Charts
Mexico;2026-03-19;30;Mi Entorno;Virlan Garcia;Virlan Garcia;Spotify Charts
Mexico;2026-03-19;31;EoO;Bad Bunny;Bad Bunny;Spotify Charts
Mexico;2026-03-19;32;Amor;Emmanuel Cortes;Emmanuel Cortes;Spotify Charts
Mexico;2026-03-19;33;El Final De Nuestra Historia;La Arrolladora Banda El Lim�n De Rene Camacho;La Arrolladora Banda El Lim�n De Rene Camacho;Spotify Charts
Mexico;2026-03-19;34;DROGA LETAL;Junior H, Gael Valenzuela, Peso Pluma;Junior H;Spotify Charts
Mexico;2026-03-19;35;LAS NOCHES;Junior H;Junior H;Spotify Charts
Mexico;2026-03-19;36;Y LLORO;Junior H;Junior H;Spotify Charts
Mexico;2026-03-19;37;Perlas Negras;Natanael Cano, Gabito Ballesteros;Natanael Cano;Spotify Charts
Mexico;2026-03-19;38;NUEVAYoL;Bad Bunny;Bad Bunny;Spotify Charts
Mexico;2026-03-19;39;La Ciudad del Sol;Omar Camacho, Oscar Maydon;Omar Camacho;Spotify Charts
Mexico;2026-03-19;40;putielegante;Peso Pluma, Tito Double P;Peso Pluma;Spotify Charts
Mexico;2026-03-19;41;PI�NSALO;Junior H;Junior H;Spotify Charts
Mexico;2026-03-19;42;Te Amo y Me Amas;Ian Cordova;Ian Cordova;Spotify Charts
Mexico;2026-03-19;43;DEMENCIA;Junior H, Gael Valenzuela;Junior H;Spotify Charts
Mexico;2026-03-19;44;LA CANCI�N;J Balvin, Bad Bunny;J Balvin;Spotify Charts
Mexico;2026-03-19;45;london;Peso Pluma, Tito Double P, Armenta;Peso Pluma;Spotify Charts
Mexico;2026-03-19;46;Me Reh�so;Danny Ocean;Danny Ocean;Spotify Charts
Mexico;2026-03-19;47;Qu� Pasar�a...;Rauw Alejandro, Bad Bunny;Rauw Alejandro;Spotify Charts
Mexico;2026-03-19;48;EXCESOS;Fuerza Regida;Fuerza Regida;Spotify Charts
Mexico;2026-03-19;49;Tu Boda;Oscar Maydon, Fuerza Regida;Oscar Maydon;Spotify Charts
Mexico;2026-03-19;50;Extssy Model;Junior H;Junior H;Spotify Charts
